,IPEDS_Hispanic,Program_Desc_Final
1227,Non-Hispanic,Business Administration - MBA
1228,Non-Hispanic,Business Administration - MBA
1230,Non-Hispanic,Business Administration - MBA
1233,Non-Hispanic,Business Administration - MBA
1240,Non-Hispanic,Business Administration - MBA
1244,Hispanic,Business Administration - MBA
1245,Non-Hispanic,Business Administration - MBA
1246,Non-Hispanic,Business Administration - MBA
1251,Non-Hispanic,Business Administration - MBA
1255,Non-Hispanic,Business Administration - MBA
1256,Non-Hispanic,Business Administration - MBA
1258,Non-Hispanic,Business Administration - MBA
1263,Non-Hispanic,Business Administration - MBA
1266,Non-Hispanic,Business Administration - MBA
1269,Non-Hispanic,Business Administration - MBA
1272,Non-Hispanic,Business Administration - MBA
1273,Non-Hispanic,Business Administration - MBA
1274,Non-Hispanic,Business Administration - MBA
1275,Hispanic,Business Administration - MBA
1276,Non-Hispanic,Business Administration - MBA
1281,Non-Hispanic,Business Administration - MBA
1286,Non-Hispanic,Business Administration - MBA
1287,Non-Hispanic,Business Administration - MBA
1288,Non-Hispanic,Business Administration - MBA
1289,Non-Hispanic,Business Administration - MBA
1293,Non-Hispanic,Business Administration - MBA
1294,Non-Hispanic,Business Administration - MBA
1296,Non-Hispanic,Business Administration - MBA
1297,Non-Hispanic,Business Administration - MBA
1298,Non-Hispanic,Business Administration - MBA
1302,Non-Hispanic,Business Administration - MBA
1304,Non-Hispanic,Business Administration - MBA
1306,Non-Hispanic,Business Administration - MBA
1312,Non-Hispanic,Business Administration - MBA
1315,Non-Hispanic,Business Administration - MBA
1320,Non-Hispanic,Business Administration - MBA
1321,Non-Hispanic,Business Administration - MBA
1322,Non-Hispanic,Business Administration - MBA
1326,Non-Hispanic,Business Administration - MBA
1327,Non-Hispanic,Business Administration - MBA
1328,Non-Hispanic,Business Administration - MBA
1331,Non-Hispanic,Business Administration - MBA
1333,Non-Hispanic,Business Administration - MBA
1335,Non-Hispanic,Business Administration - MBA
1337,Non-Hispanic,Business Administration - MBA
1338,Non-Hispanic,Business Administration - MBA
1342,Non-Hispanic,Business Administration - MBA
1344,Non-Hispanic,Business Administration - MBA
1345,Non-Hispanic,Business Administration - MBA
1348,Non-Hispanic,Business Administration - MBA
1349,Non-Hispanic,Business Administration - MBA
1350,Non-Hispanic,Business Administration - MBA
1353,Non-Hispanic,Business Administration - MBA
1355,Non-Hispanic,Business Administration - MBA
1357,Non-Hispanic,Business Administration - MBA
1360,Non-Hispanic,Business Administration - MBA
1361,Non-Hispanic,Business Administration - MBA
1363,Non-Hispanic,Business Administration - MBA
1364,Non-Hispanic,Business Administration - MBA
1365,Non-Hispanic,Business Administration - MBA
1366,Non-Hispanic,Business Administration - MBA
1367,Non-Hispanic,Business Administration - MBA
1370,Non-Hispanic,Business Administration - MBA
1373,Non-Hispanic,Business Administration - MBA
1375,Non-Hispanic,Business Administration - MBA
1379,Non-Hispanic,Business Administration - MBA
1383,Non-Hispanic,Business Administration - MBA
1384,Non-Hispanic,Business Administration - MBA
1386,Non-Hispanic,Business Administration - MBA
1389,Non-Hispanic,Business Administration - MBA
1391,Non-Hispanic,Business Administration - MBA
1393,Non-Hispanic,Business Administration - MBA
1394,Non-Hispanic,Business Administration - MBA
1395,Non-Hispanic,Business Administration - MBA
1396,Non-Hispanic,Business Administration - MBA
1397,Non-Hispanic,Business Administration - MBA
1399,Non-Hispanic,Business Administration - MBA
1403,Non-Hispanic,Business Administration - MBA
1405,Non-Hispanic,Business Administration - MBA
1406,Non-Hispanic,Business Administration - MBA
1408,Non-Hispanic,Business Administration - MBA
1412,Non-Hispanic,Business Administration - MBA
1415,Non-Hispanic,Business Administration - MBA
1416,Non-Hispanic,Business Administration - MBA
1418,Hispanic,Business Administration - MBA
1421,Non-Hispanic,Business Administration - MBA
1423,Non-Hispanic,Business Administration - MBA
1424,Non-Hispanic,Business Administration - MBA
1425,Non-Hispanic,Business Administration - MBA
1427,Hispanic,Business Administration - MBA
1432,Non-Hispanic,Business Administration - MBA
1434,Non-Hispanic,Business Administration - MBA
1437,Non-Hispanic,Business Administration - MBA
1439,Non-Hispanic,Business Administration - MBA
1440,Non-Hispanic,Business Administration - MBA
1442,Non-Hispanic,Business Administration - MBA
1443,Non-Hispanic,Business Administration - MBA
1444,Non-Hispanic,Business Administration - MBA
1445,Non-Hispanic,Business Administration - MBA
1446,Non-Hispanic,Business Administration - MBA
1448,Non-Hispanic,Business Administration - MBA
1449,Non-Hispanic,Business Administration - MBA
1453,Non-Hispanic,Business Administration - MBA
1454,Non-Hispanic,Business Administration - MBA
